Nom,Début,Fin,Lieu,Description
Administration Windows Server,2021-10-12 06:15:00+00:00,2021-10-12 10:00:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
JPO,2022-02-05 06:00:00+00:00,2022-02-05 17:30:00+00:00,"RT-Amphi,RT-Labo Informatique 1,RT-Labo Informatique 2,RT-Labo Informatique 3,RT-Salle Info CAO,RT-Salle-TD1,RT-Salle-TD2,RT-Salle-TD3,RT-Salle-TD4,RT-Labo Electronique 1,RT-Labo Electronique 2,RT-Labo Telecoms 1,RT-Labo Telecoms 2,RT-Labo Telecoms 3,RT-Labo reseaux 1,RT-Labo reseaux 2","

RT Apprentissage
RT-LP GSIE
RT1-S1
RT1-S2
RT2-S3
RT2-S4
(Exported :05/01/2022 11:04)
"
Projet Personnel et Professionnel,2021-09-27 08:15:00+00:00,2021-09-27 10:15:00+00:00,RT-Labo Informatique 1,"

TDFourier
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-13 08:15:00+00:00,2021-09-13 10:15:00+00:00,RT-Salle-TD3,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
CM Solutions métier,2022-02-10 09:15:00+00:00,2022-02-10 11:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Anglais,2021-09-28 08:15:00+00:00,2021-09-28 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-15 07:15:00+00:00,2021-11-15 09:15:00+00:00,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Gestion de projet,2022-01-17 07:15:00+00:00,2022-01-17 09:15:00+00:00,RT-Salle-TD1,"

TDBell
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-17 13:00:00+00:00,2021-11-17 16:00:00+00:00,RT-Labo Informatique 2,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-01-28 07:15:00+00:00,2022-01-28 09:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais DS,2021-12-08 07:15:00+00:00,2021-12-08 09:15:00+00:00,RT-Salle-TD1,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-04 06:15:00+00:00,2021-10-04 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-09 08:15:00+00:00,2021-11-09 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-12 12:00:00+00:00,2021-10-12 14:00:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-10-06 12:00:00+00:00,2021-10-06 16:00:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
LINUX,2022-01-10 12:30:00+00:00,2022-01-10 16:15:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-24 15:00:00+00:00,2021-11-24 17:00:00+00:00,RT-Salle-TD1,"

TDBell
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-11-22 13:00:00+00:00,2021-11-22 15:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-11-08 15:00:00+00:00,2021-11-08 17:00:00+00:00,RT-Salle-TD2,"

TDFourier
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-15 09:15:00+00:00,2021-12-15 11:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-02-10 09:15:00+00:00,2022-02-10 11:15:00+00:00,,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-11-18 08:15:00+00:00,2021-11-18 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-12 14:00:00+00:00,2021-10-12 16:00:00+00:00,RT-Labo Informatique 2,"

RT2App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-03 13:00:00+00:00,2022-01-03 16:00:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
TP Supervision et sécurisation du SI,2021-12-07 14:30:00+00:00,2021-12-07 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
DS Principes et architecture des réseaux,2021-11-26 09:15:00+00:00,2021-11-26 11:15:00+00:00,RT-Amphi,"

RT1-S1
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-30 06:15:00+00:00,2021-09-30 08:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-09 11:30:00+00:00,2021-09-09 15:30:00+00:00,RT-Labo Informatique 1,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Photos pour trombinoscope,2021-09-20 09:30:00+00:00,2021-09-20 09:45:00+00:00,,"

RT1App
(Exported :05/01/2022 11:04)
"
DS TP Electronique,2021-12-07 13:00:00+00:00,2021-12-07 16:00:00+00:00,RT-Labo Electronique 1,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Administration Active Directory,2021-12-17 12:30:00+00:00,2021-12-17 16:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Anglais général,2021-12-08 07:15:00+00:00,2021-12-08 09:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Scripts avancés DS TP,2021-10-20 08:15:00+00:00,2021-10-20 10:15:00+00:00,RT-Labo Informatique 1,"

RT2App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
DS Initiation réseaux,2021-10-18 14:00:00+00:00,2021-10-18 16:00:00+00:00,RT-Amphi,"

RT1-S1
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-02-15 13:00:00+00:00,2022-02-15 15:00:00+00:00,RT-Amphi,"

TDBell
TDFourier
RT1-S1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Administration système,2022-02-04 07:15:00+00:00,2022-02-04 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Shannon2
RT1Shannon1
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-07 06:15:00+00:00,2021-09-07 08:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-12-07 09:15:00+00:00,2021-12-07 11:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-10-14 06:15:00+00:00,2021-10-14 08:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
DS TP Blanc Electronique,2021-12-02 08:00:00+00:00,2021-12-02 11:00:00+00:00,RT-Labo Electronique 1,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2022-01-03 07:15:00+00:00,2022-01-03 11:15:00+00:00,RT-Salle Labo Visio,"

RT1App
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-10-19 14:00:00+00:00,2021-10-19 16:00:00+00:00,"RT-Amphi,RT-Salle-TD2,RT-Salle-TD1","

RT1-S1
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-09-29 08:15:00+00:00,2021-09-29 10:15:00+00:00,RT-Labo Informatique 1,"

RT1Shannon2
RT1Shannon1
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-12 08:15:00+00:00,2021-10-12 10:15:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-20 07:15:00+00:00,2021-10-20 10:15:00+00:00,RT-Labo Electronique 1,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-25 06:15:00+00:00,2021-10-25 08:15:00+00:00,RT-Salle-TD1,"

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-13 06:15:00+00:00,2021-09-13 08:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SE15: Traiter des données,2022-01-21 07:15:00+00:00,2022-01-21 11:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-27 06:15:00+00:00,2021-10-27 08:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
CM Supervision et sécurisation du SI,2021-11-16 07:15:00+00:00,2021-11-16 09:15:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-01 07:15:00+00:00,2021-12-01 09:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-11-18 08:15:00+00:00,2021-11-18 11:15:00+00:00,RT-Labo Electronique 1,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-11 08:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Salle-TD2,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-21 06:15:00+00:00,2021-09-21 08:15:00+00:00,"RT-Labo Informatique 1,RT-Labo Informatique 2","

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-09-09 08:15:00+00:00,2021-09-09 10:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-11-10 13:00:00+00:00,2021-11-10 16:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
DS TP Applications informatiques,2021-11-23 07:15:00+00:00,2021-11-23 09:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-19 06:15:00+00:00,2021-10-19 08:15:00+00:00,RT-Salle-TD2,"

TDFourier
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-16 06:15:00+00:00,2021-09-16 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Réseaux cellulaires,2022-01-13 08:15:00+00:00,2022-01-13 11:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-20 12:00:00+00:00,2021-10-20 14:00:00+00:00,RT-Salle Labo Visio,"

RT1App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE11: Cybersécurité,2021-09-24 06:15:00+00:00,2021-09-24 10:15:00+00:00,RT-Labo Informatique 2,"

RT1Huffman
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-16 08:15:00+00:00,2021-09-16 10:15:00+00:00,RT-Labo Informatique 1,"

RT2Dijkstra
RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-09-13 12:00:00+00:00,2021-09-13 14:00:00+00:00,"RT-Amphi,RT-Salle-TD1","

RT1-S1
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Projets tuteurés - Présentation des sujets,2021-09-16 07:15:00+00:00,2021-09-16 08:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
Réunion/Evènement
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-15 07:15:00+00:00,2022-02-15 11:15:00+00:00,RT-Labo reseaux 1,"

RT1Shannon2
RT1Shannon1
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-11-30 13:00:00+00:00,2021-11-30 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Electronique,2021-10-22 11:30:00+00:00,2021-10-22 14:30:00+00:00,RT-Labo Electronique 1,"

RT1Huffman
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
SAE14: Se présenter sur Internet,2022-01-21 07:15:00+00:00,2022-01-21 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Administration Active Directory,2022-01-03 12:30:00+00:00,2022-01-03 16:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-14 13:00:00+00:00,2021-12-14 17:00:00+00:00,RT-Labo reseaux 2,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-09 13:00:00+00:00,2022-02-09 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Turing
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Anglais Technique,2022-02-08 13:00:00+00:00,2022-02-08 15:00:00+00:00,,"

RT1App
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Mathématiques du signal,2021-10-18 06:15:00+00:00,2021-10-18 08:15:00+00:00,RT-Salle-TD1,"

TDBell
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-01 12:00:00+00:00,2021-09-01 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-10 13:00:00+00:00,2022-01-10 16:00:00+00:00,RT-Labo Telecoms 2,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais Technique,2022-02-01 09:15:00+00:00,2022-02-01 11:15:00+00:00,RT-Salle-TD1,"

TDBell
TDBell
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-02-10 09:15:00+00:00,2022-02-10 11:15:00+00:00,RT-Salle-TD1,"

TDBell
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-09-28 12:00:00+00:00,2021-09-28 16:00:00+00:00,RT-Labo Informatique 1,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Architecture des systèmes numériques et informatiques,2021-11-22 15:00:00+00:00,2021-11-22 17:00:00+00:00,RT-Amphi,"

RT1-S1
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
DS Fibres optiques,2022-01-11 13:00:00+00:00,2022-01-11 15:00:00+00:00,RT-Amphi,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-21 08:15:00+00:00,2021-09-21 10:15:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Services réseaux avancés,2021-12-08 09:15:00+00:00,2021-12-08 11:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
PERNOT ANTOINE
(Exported :05/01/2022 11:04)
"
Technologie de l'internet,2022-02-09 09:15:00+00:00,2022-02-09 11:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-14 07:15:00+00:00,2022-01-14 11:15:00+00:00,RT-Labo Electronique 1,"

RT1Turing
(Exported :05/01/2022 11:04)
"
PPP,2021-09-13 14:00:00+00:00,2021-09-13 16:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

RT2Dijkstra
RT2App
RT2Hamming
CHABOT ROBERT
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-10-19 06:15:00+00:00,2021-10-19 08:15:00+00:00,RT-Salle-TD1,"

TDBell
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
LINUX,2022-02-08 07:15:00+00:00,2022-02-08 11:00:00+00:00,RT-Salle Info CAO,"

LP-CyberSécurité
LP-GSIE-ARE-1
BOUCHER ARNAUD
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-21 06:15:00+00:00,2021-09-21 08:15:00+00:00,RT-Salle-TD3,"

RT2App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Mathématiques du signal DS,2021-11-22 13:00:00+00:00,2021-11-22 15:00:00+00:00,RT-Amphi,"

RT1-S1
ANSEL DAVID
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-10 08:15:00+00:00,2021-09-10 10:15:00+00:00,RT-Salle-TD2,"

RT2Dijkstra
RT2Hamming
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-15 06:15:00+00:00,2021-10-15 10:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon2
RT1Shannon1
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Communication,2021-09-29 06:15:00+00:00,2021-09-29 08:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Mathématiques des transmissions,2021-12-10 07:15:00+00:00,2021-12-10 09:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-11 13:00:00+00:00,2022-01-11 17:00:00+00:00,RT-Labo Telecoms 2,"

RT1Shannon1
RT1Shannon2
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs,2021-09-22 14:00:00+00:00,2021-09-22 16:00:00+00:00,"RT-Amphi,RT-Salle-TD4","

RT2App
RT2Hamming
RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Bases des systèmes d'exploitation,2021-11-09 07:15:00+00:00,2021-11-09 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-12 09:15:00+00:00,2022-01-12 11:15:00+00:00,RT-Labo Telecoms 2,"

RT1App
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Anglais,2021-10-11 08:15:00+00:00,2021-10-11 10:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
DS Transmissions guidées,2021-10-26 12:00:00+00:00,2021-10-26 14:00:00+00:00,RT-Amphi,"

RT2Hamming
RT2Dijkstra
RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-10-14 06:15:00+00:00,2021-10-14 08:15:00+00:00,RT-Labo Informatique 3,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-17 06:15:00+00:00,2021-09-17 08:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
SAE13: Telecommunication,2022-01-18 13:00:00+00:00,2022-01-18 17:00:00+00:00,RT-Labo Electronique 1,"

RT1App
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-27 14:00:00+00:00,2021-09-27 16:00:00+00:00,"RT-Labo Informatique 2,RT-Labo Informatique 1","

TDBell
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-17 07:15:00+00:00,2022-02-17 11:15:00+00:00,RT-Labo Informatique 1,"

RT1Huffman
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-14 12:00:00+00:00,2021-09-14 16:00:00+00:00,GC-ISAT R10 Info petite,"

RT1Turing
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Mathématiques des systèmes numériques,2022-02-15 09:15:00+00:00,2022-02-15 11:15:00+00:00,,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-08 12:00:00+00:00,2021-09-08 14:00:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electronique,2021-12-06 09:15:00+00:00,2021-12-06 11:15:00+00:00,RT-Salle-TD1,"

TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-09-28 06:15:00+00:00,2021-09-28 08:15:00+00:00,"RT-Labo Informatique 3,RT-Labo Informatique 2","

TDFourier
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Anglais,2022-01-11 07:15:00+00:00,2022-01-11 09:15:00+00:00,RT-Labo Informatique 1,"

RT2Hamming
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-09-08 08:15:00+00:00,2021-09-08 10:15:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Supports de transmission pour les réseaux locaux,2022-01-04 13:00:00+00:00,2022-01-04 16:00:00+00:00,RT-Labo Telecoms 2,"

RT1Shannon1
RT1Shannon2
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-15 11:30:00+00:00,2021-10-15 14:30:00+00:00,RT-Labo reseaux 2,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Arcitecture 3-Tier,2022-02-10 12:30:00+00:00,2022-02-10 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
CISCO,2021-09-15 12:00:00+00:00,2021-09-15 13:00:00+00:00,RT-Labo Informatique 3,"

RT2App
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-06 08:15:00+00:00,2021-09-06 10:15:00+00:00,RT-Salle-TD4,"

RT2Hamming
RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Réseaux opérateurs MR,2022-01-12 13:00:00+00:00,2022-01-12 17:00:00+00:00,RT-Labo reseaux 1,"

RT2Dijkstra
ROY MICHAEL
(Exported :05/01/2022 11:04)
"
Fibres optiques,2021-12-14 13:00:00+00:00,2021-12-14 16:00:00+00:00,RT-Labo Electronique 1,"

RT2Dijkstra
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Programmation appareils CISCO,2021-12-07 07:15:00+00:00,2021-12-07 11:00:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
BACONNIER RICHARD
(Exported :05/01/2022 11:04)
"
Transmissions guidées,2021-09-21 08:15:00+00:00,2021-09-21 10:15:00+00:00,RT-Salle-TD3,"

RT2App
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Systèmes et stockage virtualisés,2022-01-11 12:30:00+00:00,2022-01-11 16:15:00+00:00,Pôle formation (Monéteau),"

LP-GSIE-ARE-1
(Exported :05/01/2022 11:04)
"
Anglais,2021-12-13 09:15:00+00:00,2021-12-13 11:15:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
CARTIER ANNA
(Exported :05/01/2022 11:04)
"
Matrices et graphes,2021-10-11 12:00:00+00:00,2021-10-11 14:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-09-10 11:30:00+00:00,2021-09-10 13:30:00+00:00,"RT-Labo Informatique 1,RT-Labo Informatique 2","

TDBell
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Administration système,2021-11-30 07:15:00+00:00,2021-11-30 09:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-09-23 06:15:00+00:00,2021-09-23 08:15:00+00:00,RT-Salle-TD4,"

RT2-S3
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Applications informatiques,2021-10-27 12:00:00+00:00,2021-10-27 16:00:00+00:00,RT-Labo Informatique 2,"

RT2Dijkstra
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Principes et architecture des réseaux,2021-10-29 11:30:00+00:00,2021-10-29 14:30:00+00:00,RT-Labo reseaux 2,"

RT1Turing
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Scripts avancés,2021-09-14 06:15:00+00:00,2021-09-14 10:15:00+00:00,RT-Labo Informatique 2,"

RT2Hamming
VIOIX JEAN-BAPTISTE
(Exported :05/01/2022 11:04)
"
Introduction aux technologies Web,2021-10-07 11:30:00+00:00,2021-10-07 14:30:00+00:00,RT-Labo Informatique 1,"

RT1App
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Réseaux locaux et équipements actifs,2021-12-03 12:30:00+00:00,2021-12-03 16:30:00+00:00,RT-Labo reseaux 2,"

RT1Turing
AZZOUNI SOUMAYA
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-05 13:00:00+00:00,2022-01-05 17:00:00+00:00,RT-Labo reseaux 1,"

RT1Shannon1
RT1Shannon2
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Electromagnétisme,2021-10-28 06:15:00+00:00,2021-10-28 08:15:00+00:00,RT-Salle-TD3,"

RT2App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-11-10 07:15:00+00:00,2021-11-10 09:15:00+00:00,RT-Labo Informatique 3,"

RT1Shannon1
RT1Turing
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-05 12:00:00+00:00,2021-10-05 14:00:00+00:00,RT-Salle-TD3,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Anglais général,2021-10-20 08:15:00+00:00,2021-10-20 10:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
PETITPRE KAREEN
(Exported :05/01/2022 11:04)
"
