Nom,Début,Fin,Lieu,Description
SAE15: Traiter des données,2022-01-18 13:00:00+00:00,2022-01-18 17:00:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-10-15 06:15:00+00:00,2021-10-15 08:15:00+00:00,RT-Salle Labo Visio,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
Gestion - Analyse des coûts,2022-02-09 12:30:00+00:00,2022-02-09 16:15:00+00:00,RT-Salle-TD3,"

LP-CyberSécurité
LP-GSIE-ARE-1
HOUDIN ELISA
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-01 06:15:00+00:00,2021-10-01 10:15:00+00:00,RT-Labo Telecoms 1,"

RT2Hamming
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
BDD : ADMINISTRATION,2021-12-08 07:15:00+00:00,2021-12-08 11:00:00+00:00,RT-Labo Informatique 1,"

LP-CyberSécurité
LP-GSIE-ARE-1
PRESLES BENOÎT
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-09-20 12:00:00+00:00,2021-09-20 14:00:00+00:00,GC-ISAT R10 Info petite,"

RT1App
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Rentrée RT2,2021-09-01 07:00:00+00:00,2021-09-01 08:00:00+00:00,RT-Salle-TD4,"

RT2Dijkstra
RT2Hamming
Réunion/Evènement
(Exported :05/01/2022 11:04)
"
TP Solutions métier,2022-02-10 14:30:00+00:00,2022-02-10 16:30:00+00:00,RT-Labo reseaux 1,"

LP-CyberSécurité
CABEZAS NICOLAS
(Exported :05/01/2022 11:04)
"
Expression Culture Communications professionnelles,2021-11-17 13:00:00+00:00,2021-11-17 15:00:00+00:00,RT-Salle-TD1,"

RT1Huffman
CHANAMBEAU CHRISTINE
(Exported :05/01/2022 11:04)
"
Initiation réseaux,2021-10-06 06:15:00+00:00,2021-10-06 10:15:00+00:00,RT-Labo Informatique 3,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
SAE12: Réseaux,2021-12-13 13:00:00+00:00,2021-12-13 15:00:00+00:00,RT-Salle Labo Visio,"

RT1App
DEPREZ JEAN-LUC
(Exported :05/01/2022 11:04)
"
Transmission large bande,2021-10-18 12:00:00+00:00,2021-10-18 14:00:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Analyse et traitement de données structurées,2022-02-10 07:15:00+00:00,2022-02-10 09:15:00+00:00,RT-Salle-TD1,"

RT1Huffman
RT1Shannon2
TDBell
ZIMMER CHRISTINE
(Exported :05/01/2022 11:04)
"
Evaluation performative,2021-10-11 11:30:00+00:00,2021-10-11 15:15:00+00:00,Pôle formation (Monéteau),"

RT-LP GSIE
(Exported :05/01/2022 11:04)
"
SAE15: Traiter des données,2022-01-20 07:15:00+00:00,2022-01-20 11:15:00+00:00,RT-Labo Informatique 2,"

RT1Turing
(Exported :05/01/2022 11:04)
"
Technologies d'accès,2021-10-05 12:00:00+00:00,2021-10-05 14:00:00+00:00,RT-Labo Telecoms 1,"

RT2Dijkstra
DEJUSSIEU JEAN LOUIS
(Exported :05/01/2022 11:04)
"
Expression Culture Comm pro - Outils info,2021-11-09 15:00:00+00:00,2021-11-09 17:00:00+00:00,GC-ISAT 111 Info,"

RT1App
TROUTTET SYLVAIN
(Exported :05/01/2022 11:04)
"
Signaux et systèmes pour les transmissions,2022-01-28 07:15:00+00:00,2022-01-28 09:15:00+00:00,RT-Salle-TD2,"

TDFourier
MARCEL SEVERINE
(Exported :05/01/2022 11:04)
"
Fondamentaux de la programmation,2021-11-08 13:00:00+00:00,2021-11-08 17:00:00+00:00,RT-Labo Informatique 1,"

RT1App
NECTOUX ANTOINE
(Exported :05/01/2022 11:04)
"
